item_id;item;defom;exsz;schpl;x_mm;y_mm;z_mm;pzxsc;kgxsc;x_sc_mm;y_sc_mm;z_sc_mm;scxfrd;frdxplt;x_frd_mm;y_frd_mm;z_frd_mm;kgxfrd;cdsup;scxpl;z_cub_mm;x_pal_mm;y_pal_mm;kgxplt;z_pal_mm
81f45e705f N 020;81f45e705f;120X120;1;N 020;1200;1200;9;2;58;1200;1200;18;0;inf;1200;1200;0;0;9;20;-134;800;1200;1160;134
81f45e705f S 020;81f45e705f;120X120;1;S 020;1200;1200;9;2;58;1200;1200;18;2;10;1200;1200;41,4;116;H;20;461;1230;1430;1160;149
217e9f18f3 N 020;217e9f18f3;120X120;1;N 020;1200;1200;9;2;58;1200;1200;18;0;inf;1200;1200;0;0;9;20;-134;800;1200;1160;134
217e9f18f3 S 020;217e9f18f3;120X120;1;S 020;1200;1200;9;2;58;1200;1200;18;2;10;1200;1200;41,4;116;H;20;461;1230;1430;1160;149
4193561197 S 020;4193561197;120X120;1;S 020;1200;1200;9;2;58;1200;1200;18;2;10;1200;1200;41,4;116;H;20;461;1230;1430;1160;149
1b42a6f2bc N 020;1b42a6f2bc;120X120;1;N 020;1200;1200;9;2;58;1200;1200;18;0;inf;1200;1200;0;0;9;20;-134;800;1200;1160;134
1b42a6f2bc S 020;1b42a6f2bc;120X120;1;S 020;1200;1200;9;2;58;1200;1200;18;2;10;1200;1200;41,4;116;H;20;461;1230;1430;1160;149
a197287f25 N 020;a197287f25;120X120;1;N 020;1200;1200;9;2;58;1200;1200;18;0;inf;1200;1200;0;0;9;20;-134;800;1200;1160;134
a197287f25 S 020;a197287f25;120X120;1;S 020;1200;1200;9;2;58;1200;1200;18;2;10;1200;1200;41,4;116;H;20;461;1230;1430;1160;149
c9b497e579 N 042;c9b497e579;75X75;0;N 042;750;750;9;2;23,68;750;750;18;0;inf;750;750;0;0;9;42;-134;800;1200;994,56;134
c9b497e579 S 042;c9b497e579;75X75;0;S 042;750;750;9;2;23,68;750;750;18;7;6;750;750;144,9;165,76;F;42;751;800;1200;994,56;134
ad30471e77 S 040;ad30471e77;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
df8c8df25b S 040;df8c8df25b;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
68dbc5ceb1 S 040;68dbc5ceb1;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
2f3d474fdc S 040;2f3d474fdc;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
bc58b7f925 S 040;bc58b7f925;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
509bdbaa66 S 040;509bdbaa66;30X60;0;S 040;300;600;9;6;22,2;300;600;54;2;20;300;600;124,2;44,4;F;40;601;800;1200;888;134
